@RELATION Features_16

@ATTRIBUTE Feature_1 REAL
@ATTRIBUTE Feature_2 REAL
@ATTRIBUTE Feature_3 REAL
@ATTRIBUTE Feature_4 REAL
@ATTRIBUTE Feature_5 REAL
@ATTRIBUTE Feature_6 REAL
@ATTRIBUTE Feature_7 REAL
@ATTRIBUTE Feature_8 REAL
@ATTRIBUTE Feature_9 REAL
@ATTRIBUTE Feature_10 REAL
@ATTRIBUTE Feature_11 REAL
@ATTRIBUTE Feature_12 REAL
@ATTRIBUTE Feature_13 REAL
@ATTRIBUTE Feature_14 REAL
@ATTRIBUTE Feature_15 REAL
@ATTRIBUTE Feature_16 REAL
@ATTRIBUTE class {class-1,class-2,class-3,class-4,class-5,class-6,class-7,class-8}

@DATA
0.717171717,101.8383838,0.505050505,50.50505051,0.373737374,27.65656566,0.580808081,66.79292929,0.656565657,85.35353541,0.550505051,60.00505051,0.565656566,63.35353535,0.560606061,62.22727273,class-1
0.705128205,155.1282051,0.554487179,95.92628205,0.397435897,49.28205128,0.599358974,112.0801282,0.628205128,123.1282051,0.560897436,98.15705128,0.602564103,113.2820513,0.602564103,113.2820513,class-1
0.7,240.1,0.563265306,155.4612245,0.37755102,69.84693878,0.555102041,150.9877551,0.626530612,192.3448979,0.540816327,143.3163265,0.557142857,152.1,0.555102041,150.9877551,class-1
0.730512249,239.6080178,0.494432071,109.7639198,0.487750557,106.8173719,0.570155902,145.9599109,0.619153675,172.1247217,0.518930958,120.9109131,0.541202673,131.5122494,0.587973274,155.2249443,class-1
0.640625,52.53125,0.4140625,21.9453125,0.2109375,5.6953125,0.484375,30.03125,0.5546875,39.3828125,0.3828125,18.7578125,0.4375,24.5,0.4453125,25.3828125,class-1
0.733576642,147.4489051,0.50729927,70.51459854,0.277372263,21.08029197,0.394160584,42.56934307,0.525547445,75.67883208,0.46350365,58.8649635,0.419708029,48.26642336,0.467153285,59.79562044,class-1
0.577889447,132.9145729,0.429648241,73.46984925,0.316582915,39.88944724,0.479899497,91.66080402,0.525125628,109.7512563,0.472361809,88.8040201,0.414572864,68.40452261,0.447236181,79.6080402,class-1
0.732984293,102.617801,0.612565445,71.67015707,0.35078534,23.5026178,0.602094241,69.2408377,0.691099476,91.22513083,0.643979058,79.20942408,0.607329843,70.45026178,0.628272251,75.39267016,class-1
0.663333333,132.0033333,0.476666667,68.16333333,0.276666667,22.96333333,0.493333333,73.01333333,0.596666667,106.8033334,0.456666667,62.56333333,0.466666667,65.33333333,0.443333333,58.96333333,class-1
0.627717391,145.0027174,0.559782609,115.3152174,0.336956522,41.7826087,0.565217391,117.5652174,0.614130435,138.7934783,0.551630435,111.9809783,0.529891304,103.3288043,0.494565217,90.01086957,class-1
0.702422145,142.5916955,0.567474048,93.06574394,0.325259516,30.57439446,0.602076125,104.7612457,0.671280277,130.2283737,0.598615917,103.5605536,0.522491349,78.89619377,0.577854671,96.5017301,class-1
0.771604938,96.45061728,0.654320988,69.35802469,0.432098765,30.24691358,0.703703704,80.22222222,0.759259259,93.38888886,0.709876543,81.63580247,0.654320988,69.35802469,0.648148148,68.05555556,class-1
0.6953125,61.8828125,0.578125,42.78125,0.4296875,23.6328125,0.5,32,0.5625,40.5,0.5078125,33.0078125,0.6640625,56.4453125,0.5,32,class-1
0.788927336,179.8754325,0.60899654,107.183391,0.467128028,63.06228374,0.615916955,109.633218,0.733564014,155.515571,0.647058824,121,0.612456747,108.4048443,0.647058824,121,class-1
0.7,98,0.565,63.845,0.385,29.645,0.615,75.645,0.665,88.445,0.565,63.845,0.615,75.645,0.595,70.805,class-1
0.689795918,116.5755102,0.587755102,84.63673469,0.32244898,25.47346939,0.612244898,91.83673469,0.66122449,107.1183673,0.583673469,83.46530612,0.567346939,78.86122449,0.546938776,73.28979592,class-1
0.769565217,136.2130435,0.543478261,67.93478261,0.291304348,19.5173913,0.534782609,65.77826087,0.604347826,84.00434783,0.539130435,66.85217391,0.52173913,62.60869565,0.473913043,51.65652174,class-1
0.63986014,117.0944056,0.559440559,89.51048951,0.465034965,61.84965035,0.520979021,77.62587413,0.559440559,89.51048951,0.538461538,82.92307692,0.534965035,81.84965035,0.548951049,86.18531469,class-1
0.662983425,79.55801105,0.569060773,58.61325967,0.552486188,55.24861878,0.591160221,63.25414365,0.629834254,71.80110497,0.596685083,64.44198895,0.585635359,62.07734807,0.574585635,59.75690608,class-1
0.6625387,141.7832817,0.560371517,101.4272446,0.439628483,62.42724458,0.551083591,98.09287926,0.60371517,117.7244582,0.557275542,100.3095975,0.544891641,95.90092879,0.572755418,105.9597523,class-1
